group,n,fraud_rate,flag_rate,fpr,tpr
outlook.com,1016,0.1062992125984252,0.22440944881889763,0.14096916299559473,0.9259259259259259
comcast.net,1392,0.036637931034482756,0.09267241379310345,0.06263982102908278,0.8823529411764706
live.com,566,0.0088339222614841,0.061837455830388695,0.053475935828877004,1.0
gmail.com,45663,0.0416967785734621,0.07430523618684712,0.04990973285495555,0.6349789915966386
nan,20870,0.028509822712026834,0.06137997125059894,0.04986436498150432,0.453781512605042
yahoo.com,20080,0.022061752988047807,0.052838645418326696,0.04588277231756378,0.3611738148984199
hotmail.com,8092,0.05721700444883836,0.0805734058329214,0.04482894219425875,0.6695464362850972
anonymous.com,7037,0.023021173795651557,0.052295012079010945,0.0384,0.6419753086419753
aol.com,5671,0.021512960677129253,0.032974783988714514,0.025590196431789513,0.36885245901639346
sbcglobal.net,575,0.0017391304347826088,0.019130434782608695,0.017421602787456445,1.0
icloud.com,1236,0.029935275080906147,0.02912621359223301,0.014178482068390326,0.5135135135135135
msn.com,752,0.041223404255319146,0.022606382978723406,0.012482662968099861,0.25806451612903225
att.net,900,0.011111111111111112,0.0033333333333333335,0.0011235955056179776,0.2
