roc_auc,pr_auc,precision@k,k,best_iter,fold,strategy
0.9235871686777026,0.6690046927020965,0.985,200,252,1,baseline
0.9004529119288943,0.591746938675276,0.975,200,968,2,baseline
0.9298716715184899,0.6516556097559073,1.0,200,1000,3,baseline
0.9328518161306595,0.6900949523936593,0.985,200,395,4,baseline
0.9378989511102878,0.6471959961460911,0.955,200,504,5,baseline
0.9181704349707944,0.6751769436388705,0.985,200,598,1,scale_pos_weight
0.8804845837827177,0.5074063919335313,0.97,200,131,2,scale_pos_weight
0.9175131834668812,0.6338678901596985,0.995,200,994,3,scale_pos_weight
0.924926136013864,0.6759541256960158,0.925,200,995,4,scale_pos_weight
0.9281774461281517,0.6385603265503865,0.935,200,531,5,scale_pos_weight
0.9279609821939405,0.6730685377100447,0.985,200,542,1,undersample_5to1
0.9010111524837996,0.5488914226942864,0.965,200,505,2,undersample_5to1
0.9258020004049378,0.6126440118037793,1.0,200,408,3,undersample_5to1
0.9374073150170227,0.689901366758001,0.99,200,565,4,undersample_5to1
0.9372112218945915,0.6140011983653139,0.945,200,297,5,undersample_5to1
0.9262858329019626,0.6879356907227823,0.99,200,482,1,smote
0.9003758314239589,0.552993535838257,0.96,200,269,2,smote
0.9323349804646373,0.6354021509450716,1.0,200,451,3,smote
0.9395649440107317,0.6953965543665335,0.94,200,372,4,smote
0.9402142062156135,0.6662277801775356,0.96,200,1000,5,smote
