,shap,gain,shap_rank,gain_rank,rank_diff
TransactionDT,0.27937731586433184,18642.09331358224,1.0,3.0,2.0
C13,0.26752854450307534,13960.414409090765,2.0,10.0,8.0
TransactionAmt,0.2652836194428927,15960.867295833305,3.0,6.0,3.0
P_emaildomain,0.17065565390541762,6492.051050186157,4.0,24.0,20.0
card6,0.170016709000871,4094.0100005865097,5.0,37.0,32.0
card1,0.1301060843623863,15879.554598674178,6.0,7.0,1.0
C5,0.12677574017155369,3218.5736033320427,7.0,46.0,39.0
V70,0.12170227388272124,2588.5729987621307,8.0,55.0,47.0
C1,0.12000012222610153,25218.35542756319,9.0,2.0,-7.0
D1,0.11925223193512334,7003.22850137949,10.0,21.0,11.0
card5,0.10724974354955576,7103.513563126326,11.0,19.0,8.0
D4,0.10372537622498326,6522.0210646390915,12.0,23.0,11.0
C14,0.10296968090210384,16707.123930871487,13.0,5.0,-8.0
card2,0.1028551025685887,17882.983268141747,14.0,4.0,-10.0
card1_tx_count_7d,0.09519892343537854,11595.826463483274,15.0,12.0,-3.0
D15,0.08711640854401712,8187.410315871239,16.0,16.0,0.0
C11,0.08547083849649949,5759.808914095163,17.0,28.0,11.0
D2,0.08300067128499411,12999.359098672867,18.0,11.0,-7.0
dist1,0.08297603761325253,6229.796590447426,19.0,25.0,6.0
R_emaildomain,0.08006621862716486,9631.808008313179,20.0,14.0,-6.0
C2,0.07637975548022212,5420.530715331435,21.0,30.0,9.0
addr1,0.06777442846138279,14235.47987395525,22.0,8.0,-14.0
id_31,0.06756733662145159,6791.162253975868,23.0,22.0,-1.0
M6,0.06722183967071038,2238.3946699500084,24.0,60.0,36.0
V30,0.06513043271123614,1647.2310993671417,25.0,82.0,57.0
M3,0.06424607552087457,1213.6685662269592,26.0,92.0,66.0
DeviceInfo,0.06015372958809426,13995.089444637299,27.0,9.0,-18.0
M5,0.05584236921704745,2015.2985050082207,28.0,69.0,41.0
card1_seconds_since_last,0.055811375777773196,7791.932901203632,29.0,18.0,-11.0
C6,0.053150099134732065,4573.087400376797,30.0,34.0,4.0
